rule,name,value
ruler_204_r,average,1.6064999999999998
ruler_205_r,average,1.658
ruler_206_r,average,2.1069999999999998
ruler_207_r,average,2.1069999999999998
ruler_208_r,average,2.1069999999999998
ruler_209_r,average,2.1069999999999998
ruler_210_r,average,2.1069999999999998
ruler_211_r,average,2.1069999999999998
ruler_212_r,average,2.1069999999999998
ruler_213_r,average,2.1069999999999998
ruler_214_r,average,2.1069999999999998
ruler_215_r,average,2.1069999999999998
ruler_216_r,average,2.1069999999999998
ruler_217_r,average,2.1069999999999998
ruler_218_r,average,2.1069999999999998
ruler_219_r,average,2.1069999999999998
ruler_220_r,average,2.1069999999999998
ruler_221_r,average,2.1069999999999998
ruler_222_r,average,2.1069999999999998
ruler_223_r,average,2.1069999999999998
ruler_224_r,average,2.1069999999999998
ruler_225_r,average,2.1069999999999998
ruler_226_r,average,1.6059999999999999
ruler_227_r,average,1.6059999999999999
ruler_228_r,average,1.6059999999999999
ruler_229_r,average,1.6059999999999999
ruler_230_r,average,1.6059999999999999
ruler_231_r,average,1.6059999999999999
ruler_232_r,average,1.6059999999999999
ruler_233_r,average,1.6059999999999999
ruler_234_r,average,1.6059999999999999
ruler_235_r,average,1.6059999999999999
ruler_236_r,average,1.7095
ruler_237_r,average,1.7095
ruler_238_r,average,1.7095
ruler_239_r,average,1.7095
ruler_240_r,average,2.21
ruler_241_r,average,2.21
ruler_242_r,average,2.21
ruler_243_r,average,2.21
ruler_244_r,average,2.21
ruler_245_r,average,2.21
ruler_246_r,average,2.1069999999999998
ruler_247_r,average,2.1069999999999998
ruler_248_r,average,2.1069999999999998
ruler_249_r,average,2.6075
ruler_250_r,average,2.6075
ruler_251_r,average,2.6075
ruler_252_r,average,2.6075
ruler_253_r,average,2.6075
ruler_254_r,average,2.6075
ruler_255_r,average,2.6075
ruler_256_r,average,2.6075
ruler_257_r,average,3.1079999999999997
ruler_258_r,average,3.1079999999999997
ruler_259_r,average,3.1079999999999997
ruler_260_r,average,3.1079999999999997
ruler_261_r,average,3.1079999999999997
ruler_262_r,average,3.1079999999999997
ruler_263_r,average,3.1079999999999997
ruler_264_r,average,3.1079999999999997
ruler_265_r,average,3.1079999999999997
ruler_266_r,average,3.1079999999999997
ruler_267_r,average,3.1079999999999997
ruler_268_r,average,3.1079999999999997
ruler_269_r,average,1.612
ruler_270_r,average,1.612
ruler_271_r,average,1.612
ruler_272_r,average,1.612
ruler_273_r,average,1.762
ruler_274_r,average,1.762
ruler_275_r,average,1.762
ruler_276_r,average,1.762
ruler_277_r,average,2.1069999999999998
ruler_278_r,average,2.1069999999999998
ruler_279_r,average,1.658
ruler_280_r,average,1.658
ruler_281_r,average,1.912
ruler_282_r,average,1.912
ruler_283_r,average,1.762
ruler_284_r,average,1.762
ruler_285_r,average,1.912
ruler_286_r,average,1.912
ruler_287_r,average,1.762
ruler_288_r,average,1.762
ruler_289_r,average,1.762
ruler_290_r,average,1.762
ruler_291_r,average,1.209
ruler_292_r,average,1.209
ruler_293_r,average,1.7095
ruler_294_r,average,2.659
ruler_295_r,average,2.659
ruler_296_r,average,2.659
ruler_297_r,average,2.659
ruler_298_r,average,2.1585
ruler_299_r,average,2.1585
ruler_300_r,average,2.1585
ruler_301_r,average,2.1585
ruler_302_r,average,2.1585
ruler_303_r,average,2.1585
ruler_304_r,average,1.658
ruler_305_r,average,1.658
ruler_306_r,average,1.658
ruler_307_r,average,1.658
ruler_308_r,average,1.658
ruler_309_r,average,1.658
ruler_310_r,average,3.1079999999999997
ruler_311_r,average,3.1079999999999997
ruler_312_r,average,3.1079999999999997
ruler_313_r,average,3.1079999999999997
ruler_314_r,average,3.1079999999999997
